text,label,language,priority
Power cut since morning in MG Road,Electricity,English,Low
MG Road में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Civil Lines में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Hospital service issue in Station Road,Public Services,English,Medium
Drain blockage reported in Main Market,Sanitation,English,Medium
Ward 12 में बिजली नहीं है,Electricity,Hindi,Low
City Center में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
There is no electricity in Sector 5,Electricity,English,Low
Potholes on road near Station Road,Roads,English,Medium
No drinking water in Civil Lines,Water,English,Medium
Government office not responding in MG Road,Public Services,English,Medium
Government office not responding in Ward 12,Public Services,English,Medium
Electric wires are hanging dangerously in Green Park,Electricity,English,High
Green Park में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
School facility complaint in Village Area,Public Services,English,Low
Station Road में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
Sector 5 में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Shivaji Colony में बिजली नहीं है,Electricity,Hindi,Low
Power cut since morning in Village Area,Electricity,English,Low
Road cracks reported in Ward 12,Roads,English,Low
Civil Lines में पानी की सप्लाई नहीं है,Water,Hindi,Low
Road cracks reported in Nehru Nagar,Roads,English,Low
Broken water pipe in MG Road,Water,English,Low
City Center में पानी की कमी है,Water,Hindi,Medium
Civil Lines में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Nehru Nagar में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Low
Public sanitation issue in Rajendra Nagar,Sanitation,English,Low
Road cracks reported in Industrial Area,Roads,English,Medium
MG Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Water tank is overflowing in Civil Lines,Water,English,High
Village Area में कई घंटों से बिजली नहीं है,Electricity,Hindi,Medium
Public toilet is dirty in Shivaji Colony,Public Services,English,Medium
Garbage has not been collected in Main Market,Sanitation,English,Medium
Citizen service center closed in MG Road,Public Services,English,Low
Water contamination issue in Subhash Chowk,Water,English,Low
Ward 12 में सड़क निर्माण अधूरा है,Roads,Hindi,Low
Civil Lines में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Unclean streets in Nehru Nagar,Sanitation,English,Low
Nehru Nagar में पानी का प्रेशर कम है,Water,Hindi,Low
City Center में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
Mosquito problem due to dirty drains in Sector 5,Sanitation,English,Low
Bridge damaged near Village Area,Roads,English,Low
Green Park में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Subhash Chowk में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Sector 5 में अस्पताल सेवा की समस्या है,Public Services,Hindi,Low
Industrial Area में पानी दूषित है,Water,Hindi,Medium
Station Road में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Government office not responding in Old City,Public Services,English,Low
Bridge damaged near Shivaji Colony,Roads,English,Low
Bridge damaged near Green Park,Roads,English,Low
Nehru Nagar में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
Frequent voltage fluctuations in Nehru Nagar,Electricity,English,Low
MG Road में पानी की सप्लाई नहीं है,Water,Hindi,Low
Poor public transport in Shivaji Colony,Public Services,English,Medium
Civil Lines में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Station Road में पानी की पाइप टूट गई है,Water,Hindi,Medium
Subhash Chowk में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
Nehru Nagar में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Hospital service issue in Ward 12,Public Services,English,Low
Electric wires are hanging dangerously in Rajendra Nagar,Electricity,English,High
Electric pole damaged in Main Market,Electricity,English,Medium
Electric wires are hanging dangerously in Subhash Chowk,Electricity,English,High
Potholes on road near Nehru Nagar,Roads,English,Medium
Water contamination issue in Old City,Water,English,Low
Bad smell from drainage in Industrial Area,Sanitation,English,Medium
Industrial Area में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Public park maintenance issue in Industrial Area,Public Services,English,Low
Shivaji Colony में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Road construction incomplete in Green Park,Roads,English,Medium
Village Area में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
MG Road में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Rajendra Nagar में बिजली नहीं है,Electricity,Hindi,Medium
Short circuit reported in Nehru Nagar,Electricity,English,Medium
City Center में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Low
Main Market में नाली से बदबू आ रही है,Sanitation,Hindi,Medium
City Center में सड़क पर पानी भर गया है,Roads,Hindi,Medium
Hospital service issue in Shivaji Colony,Public Services,English,Medium
Public sanitation issue in Shivaji Colony,Sanitation,English,Low
Shivaji Colony में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Traffic issue due to bad roads in Station Road,Roads,English,Medium
Shivaji Colony में पानी की कमी है,Water,Hindi,Medium
Delay in government service at Industrial Area,Public Services,English,Low
Electric pole damaged in Civil Lines,Electricity,English,Medium
City Center में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
City Center में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Water tank is overflowing in Old City,Water,English,High
Main Market में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Public sanitation issue in Ward 12,Sanitation,English,Low
Old City में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Waterlogging on roads in Main Market,Roads,English,Medium
Civil Lines में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Village Area में सड़क पर पानी भर गया है,Roads,Hindi,Low
Station Road में सड़क खराब है,Roads,Hindi,Low
Shivaji Colony में नाली जाम है,Sanitation,Hindi,Low
School facility complaint in Ward 12,Public Services,English,Medium
Ward 12 में पीने का पानी नहीं है,Water,Hindi,Low
Delay in government service at Industrial Area,Public Services,English,Medium
Drain blockage reported in Sector 5,Sanitation,English,Medium
Public sanitation issue in Station Road,Sanitation,English,Medium
Rajendra Nagar में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
Green Park में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Potholes on road near Ward 12,Roads,English,Low
Bridge damaged near Industrial Area,Roads,English,Low
Civil Lines में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Drain blockage reported in Subhash Chowk,Sanitation,English,Medium
Poor public transport in Station Road,Public Services,English,Low
Rajendra Nagar में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
Road construction incomplete in Industrial Area,Roads,English,Medium
Water leakage from pipeline in Subhash Chowk,Water,English,Low
Subhash Chowk में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Drain blockage reported in Old City,Sanitation,English,Medium
There is no electricity in Shivaji Colony,Electricity,English,Low
Drain blockage reported in Village Area,Sanitation,English,Medium
Village Area में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Industrial Area में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Water contamination issue in Main Market,Water,English,Medium
Street lights are not working in Sector 5,Electricity,English,Low
Rajendra Nagar में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Nehru Nagar में सड़क में दरारें हैं,Roads,Hindi,Low
Street lights not functioning in Sector 5,Public Services,English,Low
Green Park में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
No drinking water in Subhash Chowk,Water,English,Low
Street lights are not working in City Center,Electricity,English,Medium
Green Park में सड़क खराब है,Roads,Hindi,Medium
Public toilet is dirty in City Center,Public Services,English,Low
Mosquito problem due to dirty drains in City Center,Sanitation,English,Low
Water leakage from pipeline in Main Market,Water,English,Medium
School facility complaint in Subhash Chowk,Public Services,English,Medium
Sector 5 में पानी दूषित है,Water,Hindi,Medium
Power outage for several hours in Old City,Electricity,English,Medium
Public sanitation issue in Sector 5,Sanitation,English,Medium
Station Road की सड़कें गंदी हैं,Sanitation,Hindi,Low
Industrial Area के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Electric pole damaged in Civil Lines,Electricity,English,Medium
Public sanitation issue in Main Market,Sanitation,English,Medium
MG Road में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
MG Road में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
City Center में गंदा पानी आ रहा है,Water,Hindi,Low
MG Road में पानी का प्रेशर कम है,Water,Hindi,Medium
Green Park में मच्छरों की समस्या बढ़ रही है,Sanitation,Hindi,Low
Main Market में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Government office not responding in Ward 12,Public Services,English,Medium
Industrial Area के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Power outage for several hours in MG Road,Electricity,English,Medium
Old City के पास पाइपलाइन फट गई,Water,Hindi,High
Government office not responding in Main Market,Public Services,English,Low
City Center में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
Ward 12 में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Delay in government service at Sector 5,Public Services,English,Medium
Village Area में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Low
Shivaji Colony में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Green Park में सड़क में दरारें हैं,Roads,Hindi,Medium
Low voltage issue in Village Area,Electricity,English,Low
Waste dumping issue in Rajendra Nagar,Sanitation,English,Medium
Open drains causing problems in Station Road,Sanitation,English,Medium
Main Market में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Street lights not functioning in City Center,Public Services,English,Medium
Public safety concern in Sector 5,Public Services,English,Low
Poor public transport in Civil Lines,Public Services,English,Low
Green Park में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Road repair needed in MG Road,Roads,English,Medium
Government office not responding in Ward 12,Public Services,English,Low
Industrial Area में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Road cracks reported in Nehru Nagar,Roads,English,Low
Power cut since morning in Shivaji Colony,Electricity,English,Medium
Main Market में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Water supply is not available in MG Road,Water,English,Medium
MG Road में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Bad smell from drainage in Subhash Chowk,Sanitation,English,Low
Water contamination issue in Nehru Nagar,Water,English,Medium
Industrial Area में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Civil Lines में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
There is no electricity in Green Park,Electricity,English,Low
Station Road में नाली जाम है,Sanitation,Hindi,Medium
Nehru Nagar में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Hospital service issue in Sector 5,Public Services,English,Low
Shivaji Colony में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Medium
Rajendra Nagar में सड़क खराब है,Roads,Hindi,Low
Ward 12 में सड़क असमान है,Roads,Hindi,Low
Civil Lines में पार्क रखरखाव की समस्या है,Public Services,Hindi,Medium
Delay in government service at Civil Lines,Public Services,English,Low
Sector 5 में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
No drinking water in Industrial Area,Water,English,Low
City Center में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Low
Broken road causing accidents in Civil Lines,Roads,English,High
Old City में पीने का पानी नहीं है,Water,Hindi,Low
Industrial Area के पास पाइपलाइन फट गई,Water,Hindi,High
Ward 12 में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Old City में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
Waste dumping issue in Ward 12,Sanitation,English,Low
Industrial Area में बिजली नहीं है,Electricity,Hindi,Low
Delay in government service at Main Market,Public Services,English,Medium
Old City में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Sector 5 में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Medium
Waterlogging on roads in City Center,Roads,English,Medium
Sector 5 में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Medium
Dirty water coming in taps at Shivaji Colony,Water,English,Low
Bad smell from drainage in Subhash Chowk,Sanitation,English,Medium
Traffic issue due to bad roads in Civil Lines,Roads,English,Low
Green Park के पास पाइपलाइन फट गई,Water,Hindi,High
Station Road में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
Bridge damaged near MG Road,Roads,English,Low
Village Area में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Medium
Ward 12 में बिजली नहीं है,Electricity,Hindi,Low
Industrial Area में सड़क खराब है,Roads,Hindi,Medium
Nehru Nagar के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Low voltage issue in Civil Lines,Electricity,English,Low
Subhash Chowk के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
School facility complaint in Ward 12,Public Services,English,Low
Station Road के पास पुल क्षतिग्रस्त है,Roads,Hindi,Medium
Street lights not functioning in Green Park,Public Services,English,Medium
Ward 12 में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Low
Unclean streets in Ward 12,Sanitation,English,Medium
Sector 5 में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Medium
Short circuit reported in Rajendra Nagar,Electricity,English,Medium
Transformer exploded near Green Park,Electricity,English,High
Low water pressure in Green Park,Water,English,Low
Industrial Area में सड़क में दरारें हैं,Roads,Hindi,Medium
Village Area में पानी की कमी है,Water,Hindi,Low
Poor public transport in Station Road,Public Services,English,Low
Old City में पानी का प्रेशर कम है,Water,Hindi,Low
Nehru Nagar में खराब सड़क के कारण ट्रैफिक समस्या है,Roads,Hindi,Medium
Industrial Area में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
Uneven road surface in Civil Lines,Roads,English,Low
Shivaji Colony में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Water contamination issue in Main Market,Water,English,Low
Power outage for several hours in Green Park,Electricity,English,Low
Poor public transport in MG Road,Public Services,English,Medium
Old City में कई घंटों से बिजली नहीं है,Electricity,Hindi,Low
Drain blockage reported in MG Road,Sanitation,English,Medium
Sector 5 के पास पाइपलाइन फट गई,Water,Hindi,High
Public sanitation issue in Industrial Area,Sanitation,English,Low
Sector 5 में पानी का प्रेशर कम है,Water,Hindi,Low
Drain blockage reported in Main Market,Sanitation,English,Low
Sewage overflow in Village Area,Sanitation,English,High
Low water pressure in Nehru Nagar,Water,English,Medium
Power outage for several hours in Green Park,Electricity,English,Medium
Industrial Area में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Civil Lines में पानी की कमी है,Water,Hindi,Low
Waste dumping issue in Industrial Area,Sanitation,English,Medium
Waterlogging on roads in Station Road,Roads,English,Medium
Potholes on road near Civil Lines,Roads,English,Medium
Potholes on road near Subhash Chowk,Roads,English,Medium
Subhash Chowk में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Rajendra Nagar के पास पुल क्षतिग्रस्त है,Roads,Hindi,Medium
Broken water pipe in Civil Lines,Water,English,Medium
Transformer exploded near MG Road,Electricity,English,High
Sector 5 में सार्वजनिक शौचालय गंदा है,Public Services,Hindi,Low
Waterlogging on roads in Station Road,Roads,English,Low
Old City में पानी की सप्लाई नहीं है,Water,Hindi,Low
Station Road में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Subhash Chowk में कचरा नहीं उठाया गया,Sanitation,Hindi,Low
Waste dumping issue in Village Area,Sanitation,English,Medium
Ward 12 में पानी की पाइप टूट गई है,Water,Hindi,Low
Pipeline burst near City Center,Water,English,High
There is no electricity in Green Park,Electricity,English,Medium
Civil Lines में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Low
Public safety concern in Rajendra Nagar,Public Services,English,Low
Rajendra Nagar के पास पुल क्षतिग्रस्त है,Roads,Hindi,Medium
Waste dumping issue in MG Road,Sanitation,English,Low
Civil Lines में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Main Market में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Village Area में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Waterlogging on roads in Sector 5,Roads,English,Low
School facility complaint in Sector 5,Public Services,English,Medium
Government office not responding in Nehru Nagar,Public Services,English,Medium
Shivaji Colony में कूड़ेदान भरे हुए हैं,Sanitation,Hindi,Low
Electric pole damaged in Ward 12,Electricity,English,Medium
Waste dumping issue in City Center,Sanitation,English,Medium
Sector 5 में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Low
Frequent voltage fluctuations in Industrial Area,Electricity,English,Medium
Citizen service center closed in Green Park,Public Services,English,Medium
Nehru Nagar में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
No drinking water in MG Road,Water,English,Medium
Waterlogging on roads in Nehru Nagar,Roads,English,Low
Shivaji Colony में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Ward 12 में पीने का पानी नहीं है,Water,Hindi,Low
Village Area में पानी की कमी है,Water,Hindi,Medium
Main Market में पानी की कमी है,Water,Hindi,Medium
Road cracks reported in City Center,Roads,English,Medium
Low water pressure in Nehru Nagar,Water,English,Medium
Village Area में पीने का पानी नहीं है,Water,Hindi,Medium
Shivaji Colony में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
Road repair needed in City Center,Roads,English,Medium
Industrial Area में बिजली नहीं है,Electricity,Hindi,Low
Shivaji Colony में पानी की कमी है,Water,Hindi,Low
Subhash Chowk में पानी की कमी है,Water,Hindi,Medium
Uneven road surface in Rajendra Nagar,Roads,English,Low
Overflowing garbage bins in Ward 12,Sanitation,English,High
Unclean streets in MG Road,Sanitation,English,Medium
Electric wires are hanging dangerously in Village Area,Electricity,English,High
Green Park में शॉर्ट सर्किट हुआ है,Electricity,Hindi,Low
Power cut since morning in MG Road,Electricity,English,Low
Old City में टूटी सड़क से दुर्घटनाएं हो रही हैं,Roads,Hindi,Medium
Public toilet is dirty in Station Road,Public Services,English,Low
Garbage has not been collected in Industrial Area,Sanitation,English,Low
Industrial Area में लो वोल्टेज की समस्या है,Electricity,Hindi,Medium
Subhash Chowk में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Street lights not functioning in City Center,Public Services,English,Medium
No drinking water in Shivaji Colony,Water,English,Low
Power outage for several hours in MG Road,Electricity,English,Medium
Water supply is not available in Civil Lines,Water,English,Low
Low water pressure in Green Park,Water,English,Medium
Frequent voltage fluctuations in Industrial Area,Electricity,English,Low
Waterlogging on roads in Nehru Nagar,Roads,English,Medium
Potholes on road near MG Road,Roads,English,Low
Road is damaged in Nehru Nagar,Roads,English,Medium
Transformer exploded near MG Road,Electricity,English,High
Waterlogging on roads in Station Road,Roads,English,Medium
Main Market में बिजली नहीं है,Electricity,Hindi,Low
Shivaji Colony में सड़क खराब है,Roads,Hindi,Medium
Rajendra Nagar में सड़क में दरारें हैं,Roads,Hindi,Low
Low water pressure in Sector 5,Water,English,Low
Garbage has not been collected in Village Area,Sanitation,English,Low
Old City में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Road is damaged in Main Market,Roads,English,Medium
Green Park में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Village Area में गंदा पानी आ रहा है,Water,Hindi,Low
Street lights not functioning in Shivaji Colony,Public Services,English,Low
Ward 12 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Shivaji Colony में लो वोल्टेज की समस्या है,Electricity,Hindi,Low
Frequent voltage fluctuations in Subhash Chowk,Electricity,English,Medium
Old City में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Water supply is not available in Old City,Water,English,Medium
Mosquito problem due to dirty drains in Nehru Nagar,Sanitation,English,Low
Subhash Chowk में पीने का पानी नहीं है,Water,Hindi,Medium
Subhash Chowk के पास सड़क में गड्ढे हैं,Roads,Hindi,Medium
Overflowing garbage bins in Shivaji Colony,Sanitation,English,High
Bridge damaged near Rajendra Nagar,Roads,English,Low
Ward 12 में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Low
Water tank is overflowing in Old City,Water,English,High
Nehru Nagar में सड़क में दरारें हैं,Roads,Hindi,Low
Green Park में बिजली नहीं है,Electricity,Hindi,Medium
Old City में सड़क खराब है,Roads,Hindi,Medium
City Center में पानी की सप्लाई नहीं है,Water,Hindi,Low
Station Road में पानी की पाइप टूट गई है,Water,Hindi,Low
MG Road में स्ट्रीट लाइट काम नहीं कर रही,Public Services,Hindi,Low
Traffic issue due to bad roads in Village Area,Roads,English,Medium
Traffic issue due to bad roads in Rajendra Nagar,Roads,English,Low
Public park maintenance issue in Civil Lines,Public Services,English,Medium
Village Area में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Low
Main Market में सुबह से बिजली गई हुई है,Electricity,Hindi,Medium
School facility complaint in Green Park,Public Services,English,Medium
Power outage for several hours in Green Park,Electricity,English,Medium
Nehru Nagar में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Low
Bridge damaged near Station Road,Roads,English,Medium
Street lights are not working in City Center,Electricity,English,Low
Industrial Area में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Electric wires are hanging dangerously in Main Market,Electricity,English,High
Sewage overflow in MG Road,Sanitation,English,High
Bridge damaged near Ward 12,Roads,English,Low
Short circuit reported in Village Area,Electricity,English,Medium
Station Road में स्कूल सुविधा की शिकायत है,Public Services,Hindi,Medium
Village Area के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Public park maintenance issue in Subhash Chowk,Public Services,English,Low
Village Area में सार्वजनिक सुरक्षा की समस्या है,Public Services,Hindi,Medium
Frequent voltage fluctuations in Main Market,Electricity,English,Medium
School facility complaint in Main Market,Public Services,English,Medium
Street lights not functioning in Industrial Area,Public Services,English,Medium
Green Park में गंदा पानी आ रहा है,Water,Hindi,Medium
Road repair needed in Rajendra Nagar,Roads,English,Low
Sector 5 के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Waste dumping issue in Village Area,Sanitation,English,Low
Uneven road surface in Main Market,Roads,English,Low
Bad smell from drainage in City Center,Sanitation,English,Medium
Green Park में सड़क खराब है,Roads,Hindi,Medium
Station Road में पानी दूषित है,Water,Hindi,Low
Public park maintenance issue in Rajendra Nagar,Public Services,English,Medium
Mosquito problem due to dirty drains in Shivaji Colony,Sanitation,English,Medium
Old City में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Water shortage reported in Sector 5,Water,English,Low
Civil Lines में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Low voltage issue in Station Road,Electricity,English,Medium
Civil Lines में सार्वजनिक सफाई की समस्या है,Sanitation,Hindi,Medium
Ward 12 में पानी दूषित है,Water,Hindi,Medium
Water tank is overflowing in Subhash Chowk,Water,English,High
Green Park में गंदा पानी आ रहा है,Water,Hindi,Medium
Mosquito problem due to dirty drains in Industrial Area,Sanitation,English,Medium
Transformer exploded near Old City,Electricity,English,High
Low voltage issue in Village Area,Electricity,English,Low
Road construction incomplete in Main Market,Roads,English,Low
Old City में कचरा फैलाया जा रहा है,Sanitation,Hindi,Medium
Pipeline burst near Subhash Chowk,Water,English,High
No drinking water in Nehru Nagar,Water,English,Medium
Public park maintenance issue in Village Area,Public Services,English,Low
Water contamination issue in Sector 5,Water,English,Medium
Shivaji Colony में पानी का प्रेशर कम है,Water,Hindi,Medium
Water tank is overflowing in Old City,Water,English,High
Open drains causing problems in Green Park,Sanitation,English,Low
Rajendra Nagar में पानी की सप्लाई नहीं है,Water,Hindi,Medium
Station Road में पानी की टंकी ओवरफ्लो हो रही है,Water,Hindi,Medium
Low voltage issue in Nehru Nagar,Electricity,English,Medium
Sector 5 के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
No drinking water in Village Area,Water,English,Medium
MG Road में सरकारी कार्यालय जवाब नहीं दे रहा,Public Services,Hindi,Low
Water contamination issue in City Center,Water,English,Medium
Hospital service issue in Industrial Area,Public Services,English,Medium
Low voltage issue in City Center,Electricity,English,Low
Poor public transport in Green Park,Public Services,English,Low
Green Park में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
Public toilet is dirty in Green Park,Public Services,English,Medium
Power cut since morning in Nehru Nagar,Electricity,English,Low
Water contamination issue in Ward 12,Water,English,Medium
Water shortage reported in Station Road,Water,English,Medium
Overflowing garbage bins in Green Park,Sanitation,English,High
Village Area में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Low
Ward 12 में सार्वजनिक परिवहन खराब है,Public Services,Hindi,Medium
Government office not responding in Ward 12,Public Services,English,Low
Street lights are not working in Nehru Nagar,Electricity,English,Medium
Ward 12 में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Old City में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
Short circuit reported in Village Area,Electricity,English,Medium
Bridge damaged near Village Area,Roads,English,Low
Street lights are not working in Rajendra Nagar,Electricity,English,Medium
Public toilet is dirty in Village Area,Public Services,English,Low
Government office not responding in Civil Lines,Public Services,English,Low
There is no electricity in Main Market,Electricity,English,Medium
Electric wires are hanging dangerously in Green Park,Electricity,English,High
Water tank is overflowing in Main Market,Water,English,High
Main Market में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
Public safety concern in Industrial Area,Public Services,English,Low
Station Road में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Low voltage issue in Industrial Area,Electricity,English,Medium
Village Area में सरकारी सेवा में देरी हो रही है,Public Services,Hindi,Low
Street lights not functioning in Nehru Nagar,Public Services,English,Low
Shivaji Colony में खुली नालियों से समस्या हो रही है,Sanitation,Hindi,Medium
Ward 12 में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
Delay in government service at Green Park,Public Services,English,Medium
MG Road में बिजली का खंभा टूट गया है,Electricity,Hindi,Medium
No drinking water in Industrial Area,Water,English,Low
Sector 5 में सड़क की मरम्मत की आवश्यकता है,Roads,Hindi,Medium
City Center में स्ट्रीट लाइट काम नहीं कर रही,Electricity,Hindi,Medium
Subhash Chowk के पास ट्रांसफार्मर फट गया,Electricity,Hindi,High
Sector 5 में बिजली का खंभा टूट गया है,Electricity,Hindi,Low
Green Park में कचरा नहीं उठाया गया,Sanitation,Hindi,Medium
Main Market के पास पाइपलाइन फट गई,Water,Hindi,High
City Center में पाइपलाइन से पानी लीक हो रहा है,Water,Hindi,Medium
Nehru Nagar में कचरा फैलाया जा रहा है,Sanitation,Hindi,Low
Bridge damaged near Ward 12,Roads,English,Low
City Center में पार्क रखरखाव की समस्या है,Public Services,Hindi,Low
Short circuit reported in Rajendra Nagar,Electricity,English,Low
Old City के पास सड़क में गड्ढे हैं,Roads,Hindi,Low
Subhash Chowk के पास पाइपलाइन फट गई,Water,Hindi,High
Subhash Chowk में पानी की पाइप टूट गई है,Water,Hindi,Low
Electric wires are hanging dangerously in Green Park,Electricity,English,High
Main Market में नागरिक सेवा केंद्र बंद है,Public Services,Hindi,Low
Subhash Chowk में बिजली के तार खतरनाक स्थिति में हैं,Electricity,Hindi,High
Shivaji Colony में बिजली नहीं है,Electricity,Hindi,Low
Uneven road surface in Civil Lines,Roads,English,Low
Transformer exploded near Rajendra Nagar,Electricity,English,High
Waste dumping issue in Green Park,Sanitation,English,Medium
Main Market के पास पुल क्षतिग्रस्त है,Roads,Hindi,Low
Green Park में सीवेज ओवरफ्लो हो रहा है,Sanitation,Hindi,Medium
Dirty water coming in taps at Industrial Area,Water,English,Low
Delay in government service at Civil Lines,Public Services,English,Medium
Industrial Area में सड़क में दरारें हैं,Roads,Hindi,Medium
Shivaji Colony में अस्पताल सेवा की समस्या है,Public Services,Hindi,Medium
Frequent voltage fluctuations in Station Road,Electricity,English,Medium
Shivaji Colony में सड़क निर्माण अधूरा है,Roads,Hindi,Medium
